#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 30 189 12.1 13.5 99.00 99.00 99.00 999 1009.5 999.0  22.3 999.0 99.0 99.00
2017 01 01 01 00 192 11.4 12.6 99.00 99.00 99.00 999 1010.0 999.0  22.3 999.0 99.0 99.00
2017 01 01 01 30 184  8.3 14.6 99.00 99.00 99.00 999 1009.9 999.0  22.3 999.0 99.0 99.00
2017 01 01 02 00 188 12.2 14.4 99.00 99.00 99.00 999 1010.3 999.0  22.3 999.0 99.0 99.00
2017 01 01 02 30 192 10.6 12.9 99.00 99.00 99.00 999 1010.6 999.0  22.3 999.0 99.0 99.00
2017 01 01 03 00 192 11.9 13.6 99.00 99.00 99.00 999 1010.7 999.0  22.3 999.0 99.0 99.00
2017 01 01 03 30 189  6.7  8.3 99.00 99.00 99.00 999 1010.7 999.0  22.3 999.0 99.0 99.00
2017 01 01 04 00 186  7.4  8.4 99.00 99.00 99.00 999 1010.8 999.0  22.3 999.0 99.0 99.00
2017 01 01 04 30 189  6.3  7.5 99.00 99.00 99.00 999 1010.7 999.0  22.3 999.0 99.0 99.00
2017 01 01 05 00 181  5.4  6.5 99.00 99.00 99.00 999 1010.5 999.0  22.3 999.0 99.0 99.00
2017 01 01 05 30 176  5.6  6.9 99.00 99.00 99.00 999 1010.1 999.0  22.4 999.0 99.0 99.00
2017 01 01 06 00 183  5.6  6.7 99.00 99.00 99.00 999 1010.3 999.0  22.4 999.0 99.0 99.00
2017 01 01 06 30 184  5.3  6.5 99.00 99.00 99.00 999 1010.2 999.0  22.4 999.0 99.0 99.00
2017 01 01 07 00 185  4.1  5.1 99.00 99.00 99.00 999 1010.2 999.0  22.4 999.0 99.0 99.00
2017 01 01 07 30 177  3.6  4.5 99.00 99.00 99.00 999 1010.1 999.0  22.5 999.0 99.0 99.00
2017 01 01 08 00 179  2.9  3.5 99.00 99.00 99.00 999 1010.3 999.0  22.5 999.0 99.0 99.00
2017 01 01 08 30 175  2.9  3.5 99.00 99.00 99.00 999 1010.2 999.0  22.5 999.0 99.0 99.00
2017 01 01 09 00 192  2.1  2.7 99.00 99.00 99.00 999 1010.8 999.0  22.5 999.0 99.0 99.00
2017 01 01 09 30 237  1.0  1.3 99.00 99.00 99.00 999 1010.9 999.0  22.5 999.0 99.0 99.00
2017 01 01 10 00 313  5.6  6.8 99.00 99.00 99.00 999 1011.4 999.0  22.5 999.0 99.0 99.00
2017 01 01 10 30 297  4.0  4.9 99.00 99.00 99.00 999 1011.4 999.0  22.5 999.0 99.0 99.00
2017 01 01 11 00 279  3.9  4.7 99.00 99.00 99.00 999 1011.2 999.0  22.5 999.0 99.0 99.00
2017 01 01 11 30 297  3.5  4.6 99.00 99.00 99.00 999 1011.8 999.0  22.5 999.0 99.0 99.00
2017 01 01 12 00 313  3.1  4.1 99.00 99.00 99.00 999 1012.0 999.0  22.4 999.0 99.0 99.00
2017 01 01 12 30 330  3.7  4.5 99.00 99.00 99.00 999 1012.2 999.0  22.4 999.0 99.0 99.00
2017 01 01 13 00 332  3.1  4.0 99.00 99.00 99.00 999 1012.5 999.0  22.4 999.0 99.0 99.00
2017 01 01 13 30 348  2.0  2.8 99.00 99.00 99.00 999 1012.9 999.0  22.4 999.0 99.0 99.00
2017 01 01 14 00  18  0.5  1.3 99.00 99.00 99.00 999 1012.9 999.0  22.4 999.0 99.0 99.00
2017 01 01 14 30 340  0.5  1.0 99.00 99.00 99.00 999 1012.9 999.0  22.4 999.0 99.0 99.00
2017 01 01 15 00  22  1.9  3.1 99.00 99.00 99.00 999 1013.7 999.0  22.5 999.0 99.0 99.00
2017 01 01 15 30 118  1.8  3.6 99.00 99.00 99.00 999 1013.9 999.0  22.5 999.0 99.0 99.00
2017 01 01 16 00  57  1.2  1.8 99.00 99.00 99.00 999 1013.9 999.0  22.5 999.0 99.0 99.00
2017 01 01 16 30  84  7.4  7.9 99.00 99.00 99.00 999 1013.2 999.0  22.6 999.0 99.0 99.00
2017 01 01 17 00 125  6.4  7.5 99.00 99.00 99.00 999 1012.5 999.0  22.6 999.0 99.0 99.00
