#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 17 30 120  7.1  8.3 99.00 99.00 99.00 999 1011.6 999.0  22.6 999.0 99.0 99.00
2017 01 01 18 00 123  8.2  9.5 99.00 99.00 99.00 999 1011.2 999.0  22.6 999.0 99.0 99.00
2017 01 01 18 30 137  8.6 10.1 99.00 99.00 99.00 999 1010.6 999.0  22.6 999.0 99.0 99.00
2017 01 01 19 00 136  8.8  9.9 99.00 99.00 99.00 999 1009.3 999.0  22.6 999.0 99.0 99.00
2017 01 01 19 30 130  7.6  9.4 99.00 99.00 99.00 999 1009.3 999.0  22.6 999.0 99.0 99.00
2017 01 01 20 00 202  2.4  4.0 99.00 99.00 99.00 999 1010.2 999.0  22.6 999.0 99.0 99.00
2017 01 01 20 30 202  4.2  5.4 99.00 99.00 99.00 999 1009.9 999.0  22.6 999.0 99.0 99.00
2017 01 01 21 00 200  4.3  5.8 99.00 99.00 99.00 999 1009.7 999.0  22.6 999.0 99.0 99.00
2017 01 01 21 30 170  2.7  5.0 99.00 99.00 99.00 999 1009.6 999.0  22.6 999.0 99.0 99.00
2017 01 01 22 00 159  2.8  3.7 99.00 99.00 99.00 999 1009.7 999.0  22.6 999.0 99.0 99.00
2017 01 01 22 30 151  2.4  3.2 99.00 99.00 99.00 999 1009.5 999.0  22.6 999.0 99.0 99.00
2017 01 01 23 00 163  2.2  2.7 99.00 99.00 99.00 999 1009.7 999.0  22.6 999.0 99.0 99.00
2017 01 01 23 30 167  2.0  2.2 99.00 99.00 99.00 999 1009.8 999.0  22.6 999.0 99.0 99.00
2017 01 02 00 30 163  2.0  2.4 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 01 00 140  2.0  2.3 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 01 30 131  2.5  3.1 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 02 00 146  3.2  3.8 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 02 30 148  2.5  3.2 99.00 99.00 99.00 999 1010.4 999.0  22.6 999.0 99.0 99.00
2017 01 02 03 00 120  2.4  3.2 99.00 99.00 99.00 999 1010.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 03 30 117  2.7  3.2 99.00 99.00 99.00 999 1010.2 999.0  22.6 999.0 99.0 99.00
2017 01 02 04 00 140  3.0  3.9 99.00 99.00 99.00 999 1010.2 999.0  22.6 999.0 99.0 99.00
2017 01 02 04 30 151  5.0  5.6 99.00 99.00 99.00 999 1010.0 999.0  22.6 999.0 99.0 99.00
2017 01 02 05 00 146  4.6  5.0 99.00 99.00 99.00 999 1009.9 999.0  22.5 999.0 99.0 99.00
2017 01 02 05 30 150  5.2  5.9 99.00 99.00 99.00 999 1009.7 999.0  22.5 999.0 99.0 99.00
2017 01 02 06 00 155  6.1  7.0 99.00 99.00 99.00 999 1009.6 999.0  22.5 999.0 99.0 99.00
2017 01 02 06 30 152  6.3  7.3 99.00 99.00 99.00 999 1009.5 999.0  22.5 999.0 99.0 99.00
2017 01 02 07 00 156  6.9  7.7 99.00 99.00 99.00 999 1009.0 999.0  22.5 999.0 99.0 99.00
2017 01 02 07 30 158  6.2  7.2 99.00 99.00 99.00 999 1009.1 999.0  22.5 999.0 99.0 99.00
2017 01 02 08 00 161  7.1  7.9 99.00 99.00 99.00 999 1009.0 999.0  22.6 999.0 99.0 99.00
2017 01 02 08 30 162  6.8  7.6 99.00 99.00 99.00 999 1008.6 999.0  22.6 999.0 99.0 99.00
2017 01 02 09 00 164  6.9  8.0 99.00 99.00 99.00 999 1008.5 999.0  22.6 999.0 99.0 99.00
2017 01 02 09 30 171  6.1  7.0 99.00 99.00 99.00 999 1008.8 999.0  22.6 999.0 99.0 99.00
2017 01 02 10 00 170  7.3  8.4 99.00 99.00 99.00 999 1008.7 999.0  22.6 999.0 99.0 99.00
2017 01 02 10 30 166  6.5  7.6 99.00 99.00 99.00 999 1008.9 999.0  22.6 999.0 99.0 99.00
2017 01 02 11 00 174  6.2  7.1 99.00 99.00 99.00 999 1008.9 999.0  22.6 999.0 99.0 99.00
2017 01 02 11 30 174  6.7  7.4 99.00 99.00 99.00 999 1009.0 999.0  22.6 999.0 99.0 99.00
2017 01 02 12 00 170  6.8  8.0 99.00 99.00 99.00 999 1009.0 999.0  22.6 999.0 99.0 99.00
2017 01 02 12 30 172  7.2  8.3 99.00 99.00 99.00 999 1009.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 13 00 176  7.5  9.3 99.00 99.00 99.00 999 1009.7 999.0  22.6 999.0 99.0 99.00
2017 01 02 13 30 187  7.4  8.8 99.00 99.00 99.00 999 1010.5 999.0  22.6 999.0 99.0 99.00
2017 01 02 14 00 183  7.3  8.6 99.00 99.00 99.00 999 1010.8 999.0  22.6 999.0 99.0 99.00
2017 01 02 14 30 179  7.7  8.7 99.00 99.00 99.00 999 1011.2 999.0  22.6 999.0 99.0 99.00
2017 01 02 15 00 196  8.3  9.8 99.00 99.00 99.00 999 1011.7 999.0  22.6 999.0 99.0 99.00
2017 01 02 15 30 203  7.4  8.7 99.00 99.00 99.00 999 1012.3 999.0  22.6 999.0 99.0 99.00
2017 01 02 16 00 217 10.2 12.6 99.00 99.00 99.00 999 1013.1 999.0  22.6 999.0 99.0 99.00
2017 01 02 16 30 222 12.9 15.5 99.00 99.00 99.00 999 1013.5 999.0  22.6 999.0 99.0 99.00
2017 01 02 17 00 225  8.7 10.2 99.00 99.00 99.00 999 1013.2 999.0  22.6 999.0 99.0 99.00
2017 01 02 17 30 224  8.6 10.0 99.00 99.00 99.00 999 1013.2 999.0  22.6 999.0 99.0 99.00
2017 01 02 18 00 235  6.9  8.0 99.00 99.00 99.00 999 1013.6 999.0  22.6 999.0 99.0 99.00
2017 01 02 18 30 270  4.7  5.7 99.00 99.00 99.00 999 1012.7 999.0  22.6 999.0 99.0 99.00
2017 01 02 19 00 276  4.4  5.4 99.00 99.00 99.00 999 1012.4 999.0  22.7 999.0 99.0 99.00
2017 01 02 19 30 278  4.5  5.3 99.00 99.00 99.00 999 1012.4 999.0  22.7 999.0 99.0 99.00
2017 01 02 20 00 288  4.7  5.6 99.00 99.00 99.00 999 1012.2 999.0  22.8 999.0 99.0 99.00
2017 01 02 20 30 292  4.8  5.8 99.00 99.00 99.00 999 1012.4 999.0  22.8 999.0 99.0 99.00
2017 01 02 21 00 288  4.6  5.3 99.00 99.00 99.00 999 1012.3 999.0  22.8 999.0 99.0 99.00
2017 01 02 21 30 292  3.9  4.5 99.00 99.00 99.00 999 1012.5 999.0  22.8 999.0 99.0 99.00
2017 01 02 22 00 299  3.1  3.8 99.00 99.00 99.00 999 1012.9 999.0  22.8 999.0 99.0 99.00
2017 01 02 22 30 312  2.8  3.4 99.00 99.00 99.00 999 1012.9 999.0  22.8 999.0 99.0 99.00
2017 01 02 23 00 323  2.0  3.4 99.00 99.00 99.00 999 1012.8 999.0  22.8 999.0 99.0 99.00
2017 01 02 23 30 353  1.9  2.4 99.00 99.00 99.00 999 1013.0 999.0  22.7 999.0 99.0 99.00
2017 01 03 00 30  53  2.2  2.6 99.00 99.00 99.00 999 1013.2 999.0  22.7 999.0 99.0 99.00
2017 01 03 01 00  71  2.6  3.1 99.00 99.00 99.00 999 1013.3 999.0  22.7 999.0 99.0 99.00
2017 01 03 01 30  69  3.3  3.7 99.00 99.00 99.00 999 1013.2 999.0  22.7 999.0 99.0 99.00
2017 01 03 02 00  84  3.7  4.2 99.00 99.00 99.00 999 1013.2 999.0  22.7 999.0 99.0 99.00
2017 01 03 02 30  79  3.0  3.5 99.00 99.00 99.00 999 1013.7 999.0  22.7 999.0 99.0 99.00
2017 01 03 03 00  88  2.8  3.2 99.00 99.00 99.00 999 1013.9 999.0  22.7 999.0 99.0 99.00
2017 01 03 03 30  85  3.0  3.4 99.00 99.00 99.00 999 1014.0 999.0  22.6 999.0 99.0 99.00
2017 01 03 04 00  91  3.4  3.9 99.00 99.00 99.00 999 1014.1 999.0  22.6 999.0 99.0 99.00
2017 01 03 04 30 100  2.7  3.2 99.00 99.00 99.00 999 1014.3 999.0  22.6 999.0 99.0 99.00
2017 01 03 05 00  94  2.4  2.9 99.00 99.00 99.00 999 1014.7 999.0  22.6 999.0 99.0 99.00
2017 01 03 05 30 104  2.2  2.7 99.00 99.00 99.00 999 1014.8 999.0  22.6 999.0 99.0 99.00
2017 01 03 06 00  97  2.2  2.6 99.00 99.00 99.00 999 1015.0 999.0  22.6 999.0 99.0 99.00
2017 01 03 06 30  72  1.6  2.5 99.00 99.00 99.00 999 1014.9 999.0  22.6 999.0 99.0 99.00
2017 01 03 07 00  78  1.7  2.3 99.00 99.00 99.00 999 1014.7 999.0  22.6 999.0 99.0 99.00
2017 01 03 07 30 100  1.7  2.1 99.00 99.00 99.00 999 1014.7 999.0  22.6 999.0 99.0 99.00
2017 01 03 08 00 112  2.0  2.6 99.00 99.00 99.00 999 1014.5 999.0  22.6 999.0 99.0 99.00
2017 01 03 08 30  80  1.4  2.0 99.00 99.00 99.00 999 1014.8 999.0  22.6 999.0 99.0 99.00
2017 01 03 09 00 112  2.3  2.6 99.00 99.00 99.00 999 1014.5 999.0  22.6 999.0 99.0 99.00
2017 01 03 09 30 120  2.8  3.3 99.00 99.00 99.00 999 1014.5 999.0  22.6 999.0 99.0 99.00
2017 01 03 10 00 130  3.6  4.4 99.00 99.00 99.00 999 1014.5 999.0  22.6 999.0 99.0 99.00
2017 01 03 10 30 133  2.9  3.5 99.00 99.00 99.00 999 1014.7 999.0  22.6 999.0 99.0 99.00
2017 01 03 11 00 124  1.9  2.4 99.00 99.00 99.00 999 1015.0 999.0  22.6 999.0 99.0 99.00
2017 01 03 11 30  85  1.2  1.5 99.00 99.00 99.00 999 1015.1 999.0  22.6 999.0 99.0 99.00
2017 01 03 12 00 129  1.4  1.7 99.00 99.00 99.00 999 1015.3 999.0  22.6 999.0 99.0 99.00
2017 01 03 12 30 142  2.3  3.1 99.00 99.00 99.00 999 1015.5 999.0  22.6 999.0 99.0 99.00
2017 01 03 13 00 148  2.4  3.0 99.00 99.00 99.00 999 1015.5 999.0  22.5 999.0 99.0 99.00
2017 01 03 13 30 155  3.4  4.1 99.00 99.00 99.00 999 1015.5 999.0  22.4 999.0 99.0 99.00
2017 01 03 14 00 167  2.8  3.5 99.00 99.00 99.00 999 1016.1 999.0  22.2 999.0 99.0 99.00
2017 01 03 14 30 147  1.3  1.7 99.00 99.00 99.00 999 1016.7 999.0  22.3 999.0 99.0 99.00
2017 01 03 15 00 162  1.8  2.4 99.00 99.00 99.00 999 1016.8 999.0  22.3 999.0 99.0 99.00
2017 01 03 15 30 220  0.7  1.1 99.00 99.00 99.00 999 1017.0 999.0  22.2 999.0 99.0 99.00
2017 01 03 16 00 260  0.5  1.0 99.00 99.00 99.00 999 1017.5 999.0  22.3 999.0 99.0 99.00
2017 01 03 16 30 341  0.6  1.3 99.00 99.00 99.00 999 1017.7 999.0  22.5 999.0 99.0 99.00
2017 01 03 17 00 342  3.8  4.7 99.00 99.00 99.00 999 1017.1 999.0  22.5 999.0 99.0 99.00
2017 01 03 17 30 343  4.5  5.3 99.00 99.00 99.00 999 1017.3 999.0  22.6 999.0 99.0 99.00
2017 01 03 18 00 335  3.5  4.6 99.00 99.00 99.00 999 1016.7 999.0  22.6 999.0 99.0 99.00
2017 01 03 18 30 338  3.9  4.7 99.00 99.00 99.00 999 1016.3 999.0  22.7 999.0 99.0 99.00
2017 01 03 19 00 358  3.8  4.6 99.00 99.00 99.00 999 1016.0 999.0  22.7 999.0 99.0 99.00
2017 01 03 19 30   9  4.3  5.3 99.00 99.00 99.00 999 1015.7 999.0  22.7 999.0 99.0 99.00
2017 01 03 20 00  13  5.4  6.6 99.00 99.00 99.00 999 1015.4 999.0  22.7 999.0 99.0 99.00
2017 01 03 20 30  17  3.6  4.5 99.00 99.00 99.00 999 1015.1 999.0  22.7 999.0 99.0 99.00
2017 01 03 21 00   2  3.6  4.4 99.00 99.00 99.00 999 1015.3 999.0  22.7 999.0 99.0 99.00
2017 01 03 21 30 353  2.8  3.5 99.00 99.00 99.00 999 1015.2 999.0  22.6 999.0 99.0 99.00
2017 01 03 22 00 352  2.2  2.8 99.00 99.00 99.00 999 1015.0 999.0  22.6 999.0 99.0 99.00
2017 01 03 22 30   8  1.8  2.4 99.00 99.00 99.00 999 1014.8 999.0  22.5 999.0 99.0 99.00
2017 01 03 23 00   4  2.1  2.8 99.00 99.00 99.00 999 1015.0 999.0  22.4 999.0 99.0 99.00
2017 01 03 23 30 334  2.7  3.3 99.00 99.00 99.00 999 1015.3 999.0  22.2 999.0 99.0 99.00
2017 01 04 00 30 352  2.4  2.9 99.00 99.00 99.00 999 1015.4 999.0  22.1 999.0 99.0 99.00
2017 01 04 01 00 354  2.0  2.8 99.00 99.00 99.00 999 1015.5 999.0  22.1 999.0 99.0 99.00
2017 01 04 01 30   9  2.4  2.9 99.00 99.00 99.00 999 1016.0 999.0  22.1 999.0 99.0 99.00
2017 01 04 02 00   5  2.9  3.5 99.00 99.00 99.00 999 1016.2 999.0  22.2 999.0 99.0 99.00
2017 01 04 02 30   0  2.0  2.5 99.00 99.00 99.00 999 1016.3 999.0  22.2 999.0 99.0 99.00
2017 01 04 03 00 351  1.8  2.2 99.00 99.00 99.00 999 1016.5 999.0  22.2 999.0 99.0 99.00
2017 01 04 03 30 351  1.7  2.3 99.00 99.00 99.00 999 1016.6 999.0  22.2 999.0 99.0 99.00
2017 01 04 04 00  14  0.3  1.0 99.00 99.00 99.00 999 1016.5 999.0  22.2 999.0 99.0 99.00
2017 01 04 04 30 312  0.5  0.9 99.00 99.00 99.00 999 1016.6 999.0  22.1 999.0 99.0 99.00
2017 01 04 05 00 332  0.6  0.8 99.00 99.00 99.00 999 1016.7 999.0  22.1 999.0 99.0 99.00
2017 01 04 05 30 348  1.5  1.8 99.00 99.00 99.00 999 1016.9 999.0  22.0 999.0 99.0 99.00
2017 01 04 06 00 357  1.2  1.8 99.00 99.00 99.00 999 1016.6 999.0  22.0 999.0 99.0 99.00
2017 01 04 06 30 345  0.4  0.8 99.00 99.00 99.00 999 1016.3 999.0  22.0 999.0 99.0 99.00
2017 01 04 07 00 316  0.6  0.8 99.00 99.00 99.00 999 1016.3 999.0  21.7 999.0 99.0 99.00
2017 01 04 07 30 347  0.7  0.9 99.00 99.00 99.00 999 1016.1 999.0  21.6 999.0 99.0 99.00
2017 01 04 08 00  12  1.3  1.5 99.00 99.00 99.00 999 1016.0 999.0  21.4 999.0 99.0 99.00
2017 01 04 08 30   6  1.9  2.1 99.00 99.00 99.00 999 1016.2 999.0  21.1 999.0 99.0 99.00
2017 01 04 09 00  13  3.0  3.5 99.00 99.00 99.00 999 1016.1 999.0  21.3 999.0 99.0 99.00
2017 01 04 09 30   3  3.3  4.0 99.00 99.00 99.00 999 1016.1 999.0  21.6 999.0 99.0 99.00
2017 01 04 10 00   1  2.7  3.4 99.00 99.00 99.00 999 1016.1 999.0  20.6 999.0 99.0 99.00
2017 01 04 10 30 350  3.7  4.3 99.00 99.00 99.00 999 1016.2 999.0  19.9 999.0 99.0 99.00
2017 01 04 11 00 334  4.7  5.5 99.00 99.00 99.00 999 1016.2 999.0  19.6 999.0 99.0 99.00
2017 01 04 11 30  53  7.1  8.7 99.00 99.00 99.00 999 1016.2 999.0  19.5 999.0 99.0 99.00
2017 01 04 12 00  61  8.1  9.9 99.00 99.00 99.00 999 1016.5 999.0  19.8 999.0 99.0 99.00
2017 01 04 12 30  66  8.1  9.9 99.00 99.00 99.00 999 1017.1 999.0  20.2 999.0 99.0 99.00
2017 01 04 13 00  73  7.8  9.8 99.00 99.00 99.00 999 1017.6 999.0  20.7 999.0 99.0 99.00
2017 01 04 13 30  76  7.7  9.4 99.00 99.00 99.00 999 1017.6 999.0  21.3 999.0 99.0 99.00
2017 01 04 14 00  75  7.9  9.7 99.00 99.00 99.00 999 1018.2 999.0  21.0 999.0 99.0 99.00
2017 01 04 14 30  79  7.8  9.5 99.00 99.00 99.00 999 1018.1 999.0  20.8 999.0 99.0 99.00
2017 01 04 15 00  73  7.3  8.5 99.00 99.00 99.00 999 1018.7 999.0  20.7 999.0 99.0 99.00
2017 01 04 15 30  75  7.1  8.2 99.00 99.00 99.00 999 1018.8 999.0  20.7 999.0 99.0 99.00
2017 01 04 16 00  78  6.8  8.3 99.00 99.00 99.00 999 1019.1 999.0  20.5 999.0 99.0 99.00
2017 01 04 16 30  72  6.6  8.2 99.00 99.00 99.00 999 1018.9 999.0  20.4 999.0 99.0 99.00
2017 01 04 17 00  70  6.9  8.7 99.00 99.00 99.00 999 1018.9 999.0  20.4 999.0 99.0 99.00
2017 01 04 17 30  69  6.3  7.6 99.00 99.00 99.00 999 1018.8 999.0  20.4 999.0 99.0 99.00
2017 01 04 18 00  73  5.2  6.6 99.00 99.00 99.00 999 1018.2 999.0  20.5 999.0 99.0 99.00
2017 01 04 18 30  53  4.9  6.3 99.00 99.00 99.00 999 1017.7 999.0  20.6 999.0 99.0 99.00
2017 01 04 19 00  56  5.0  6.2 99.00 99.00 99.00 999 1016.8 999.0  20.6 999.0 99.0 99.00
2017 01 04 19 30  65  6.3  7.4 99.00 99.00 99.00 999 1016.0 999.0  20.6 999.0 99.0 99.00
2017 01 04 20 00  75  7.2  8.7 99.00 99.00 99.00 999 1015.4 999.0  20.7 999.0 99.0 99.00
2017 01 04 20 30  78  6.8  8.3 99.00 99.00 99.00 999 1015.1 999.0  20.7 999.0 99.0 99.00
2017 01 04 21 00  79  6.6  7.6 99.00 99.00 99.00 999 1015.3 999.0  20.7 999.0 99.0 99.00
2017 01 04 21 30  82  6.5  8.1 99.00 99.00 99.00 999 1015.1 999.0  20.8 999.0 99.0 99.00
2017 01 04 22 00  92  5.7  7.5 99.00 99.00 99.00 999 1014.9 999.0  20.9 999.0 99.0 99.00
2017 01 04 22 30  95  6.1  7.3 99.00 99.00 99.00 999 1014.9 999.0  20.9 999.0 99.0 99.00
2017 01 04 23 00  93  5.3  6.9 99.00 99.00 99.00 999 1014.7 999.0  20.9 999.0 99.0 99.00
2017 01 04 23 30 176  1.4  3.4 99.00 99.00 99.00 999 1014.6 999.0  19.0 999.0 99.0 99.00
2017 01 05 00 00  97  2.9  5.7 99.00 99.00 99.00 999 1014.5 999.0  18.4 999.0 99.0 99.00
2017 01 05 00 30  90  5.0  6.0 99.00 99.00 99.00 999 1014.8 999.0  20.7 999.0 99.0 99.00
2017 01 05 01 00  83  4.9  6.0 99.00 99.00 99.00 999 1014.9 999.0  20.9 999.0 99.0 99.00
2017 01 05 01 30  85  5.2  6.2 99.00 99.00 99.00 999 1015.2 999.0  21.1 999.0 99.0 99.00
2017 01 05 02 00  98  4.9  6.0 99.00 99.00 99.00 999 1014.7 999.0  21.1 999.0 99.0 99.00
2017 01 05 02 30  97  4.6  5.7 99.00 99.00 99.00 999 1015.4 999.0  21.2 999.0 99.0 99.00
2017 01 05 03 00  94  4.4  5.5 99.00 99.00 99.00 999 1015.5 999.0  21.2 999.0 99.0 99.00
2017 01 05 03 30  88  4.0  5.2 99.00 99.00 99.00 999 1015.7 999.0  21.2 999.0 99.0 99.00
2017 01 05 04 00  96  4.2  5.0 99.00 99.00 99.00 999 1015.3 999.0  21.2 999.0 99.0 99.00
2017 01 05 04 30  93  3.8  4.9 99.00 99.00 99.00 999 1015.4 999.0  21.2 999.0 99.0 99.00
2017 01 05 05 00  95  3.4  4.4 99.00 99.00 99.00 999 1015.2 999.0  21.2 999.0 99.0 99.00
2017 01 05 05 30  98  4.0  4.8 99.00 99.00 99.00 999 1014.8 999.0  21.2 999.0 99.0 99.00
2017 01 05 06 00 106  3.6  4.6 99.00 99.00 99.00 999 1014.6 999.0  21.2 999.0 99.0 99.00
2017 01 05 06 30 117  3.6  4.5 99.00 99.00 99.00 999 1014.1 999.0  21.2 999.0 99.0 99.00
2017 01 05 07 00 120  4.1  4.9 99.00 99.00 99.00 999 1013.2 999.0  21.2 999.0 99.0 99.00
2017 01 05 07 30 122  3.7  4.5 99.00 99.00 99.00 999 1013.3 999.0  21.1 999.0 99.0 99.00
2017 01 05 08 00 124  5.5  6.3 99.00 99.00 99.00 999 1012.5 999.0  21.2 999.0 99.0 99.00
2017 01 05 08 30 134  5.5  6.5 99.00 99.00 99.00 999 1011.8 999.0  21.1 999.0 99.0 99.00
2017 01 05 09 00 138  5.5  6.8 99.00 99.00 99.00 999 1011.7 999.0  21.1 999.0 99.0 99.00
2017 01 05 09 30 134  5.8  6.8 99.00 99.00 99.00 999 1011.1 999.0  21.0 999.0 99.0 99.00
2017 01 05 10 00 131  5.1  6.1 99.00 99.00 99.00 999 1011.3 999.0  21.0 999.0 99.0 99.00
2017 01 05 10 30 133  4.6  5.5 99.00 99.00 99.00 999 1011.1 999.0  21.1 999.0 99.0 99.00
2017 01 05 11 00 130  4.2  5.0 99.00 99.00 99.00 999 1011.2 999.0  21.0 999.0 99.0 99.00
2017 01 05 11 30 133  3.5  4.3 99.00 99.00 99.00 999 1011.3 999.0  21.0 999.0 99.0 99.00
2017 01 05 12 00 130  4.0  4.7 99.00 99.00 99.00 999 1011.3 999.0  21.0 999.0 99.0 99.00
2017 01 05 12 30 136  3.5  4.1 99.00 99.00 99.00 999 1011.6 999.0  21.0 999.0 99.0 99.00
2017 01 05 13 00 136  3.5  4.1 99.00 99.00 99.00 999 1011.4 999.0  21.1 999.0 99.0 99.00
2017 01 05 13 30 145  4.5  5.0 99.00 99.00 99.00 999 1011.4 999.0  21.1 999.0 99.0 99.00
2017 01 05 14 00 151  4.5  5.0 99.00 99.00 99.00 999 1011.6 999.0  21.1 999.0 99.0 99.00
2017 01 05 14 30 150  4.8  5.2 99.00 99.00 99.00 999 1011.6 999.0  21.1 999.0 99.0 99.00
2017 01 05 15 00 155  5.1  5.6 99.00 99.00 99.00 999 1011.6 999.0  21.2 999.0 99.0 99.00
2017 01 05 15 30 144  3.2  4.0 99.00 99.00 99.00 999 1012.0 999.0  21.2 999.0 99.0 99.00
2017 01 05 16 00 130  1.9  2.2 99.00 99.00 99.00 999 1012.5 999.0  21.3 999.0 99.0 99.00
2017 01 05 16 30 125  1.6  1.9 99.00 99.00 99.00 999 1012.1 999.0  21.3 999.0 99.0 99.00
2017 01 05 17 00 128  2.7  3.1 99.00 99.00 99.00 999 1011.9 999.0  21.4 999.0 99.0 99.00
2017 01 05 17 30 129  1.7  2.1 99.00 99.00 99.00 999 1011.5 999.0  21.5 999.0 99.0 99.00
2017 01 05 18 00 223  3.4  4.6 99.00 99.00 99.00 999 1011.2 999.0  21.5 999.0 99.0 99.00
2017 01 05 18 30 234  3.4  3.9 99.00 99.00 99.00 999 1010.5 999.0  21.6 999.0 99.0 99.00
2017 01 05 19 00 249  3.5  4.0 99.00 99.00 99.00 999 1009.6 999.0  21.6 999.0 99.0 99.00
2017 01 05 19 30 266  2.8  3.4 99.00 99.00 99.00 999 1009.1 999.0  21.7 999.0 99.0 99.00
2017 01 05 20 00 259  2.5  2.9 99.00 99.00 99.00 999 1008.6 999.0  21.8 999.0 99.0 99.00
