#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 02 50 125  1.9  2.2  1.62  8.33  6.86 150 1013.2  20.9  19.6  19.3 99.0 99.00
2017 01 03 03 50  72  1.7  2.0  1.45  8.33  6.66 145 1013.7  20.7  19.6  19.3 99.0 99.00
2017 01 03 04 50  90  1.1  1.6  1.50  8.33  6.62 159 1014.2  20.3  19.5  19.2 99.0 99.00
2017 01 03 05 50  22  0.6  1.0  1.39  8.33  6.45 156 1014.4  20.0  19.5  19.0 99.0 99.00
2017 01 03 06 50 145  0.8  1.3  1.46  8.33  6.59 146 1013.9  19.5  19.4  18.7 99.0 99.00
2017 01 03 07 50 172  1.3  1.8  1.33  7.69  6.37 147 1014.1  19.7  19.3  19.0 99.0 99.00
2017 01 03 08 50 172  3.2  3.5  1.19  7.69  6.10 134 1013.8  20.2  19.4  19.5 99.0 99.00
2017 01 03 09 50 184  0.9  1.4  1.18  7.69  6.06 138 1014.0  20.0  19.2  19.3 99.0 99.00
2017 01 03 10 50 194  1.1  1.3  1.26  7.69  6.33 127 1014.2  20.3  19.4  19.7 99.0 99.00
2017 01 03 11 50 278  1.3  1.7  1.22  7.14  6.27 130 1014.6  19.3  19.6  18.7 99.0 99.00
2017 01 03 12 50 325  2.7  3.7  1.20  7.14  6.23 136 1015.0  19.4  19.9  18.9 99.0 99.00
2017 01 03 13 50 259  2.4  3.3  1.08  7.14  6.24 129 1015.5  19.3  20.2  18.9 99.0 99.00
2017 01 03 14 50 324  2.5  3.3  0.99  8.33  6.12 115 1016.3  18.2  20.4  17.8 99.0 99.00
2017 01 03 15 50   8  1.7  2.5  1.16  7.14  6.42 140 1016.7  18.2  20.6  17.8 99.0 99.00
2017 01 03 16 50 282  2.2  3.8  1.22  8.33  6.63 107 1017.3  17.5  20.7  17.1 99.0 99.00
2017 01 03 17 50 300  3.3  4.5  1.13  7.14  6.44 115 1017.0  17.4  20.8  17.0 99.0 99.00
