#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 05 08 00 100  1.6  2.3 99.00 99.00 99.00 999 1012.2  17.9  17.9 999.0 99.0 99.00
2017 01 05 08 30 155  1.3  1.7 99.00 99.00 99.00 999 1011.8  17.8  17.9 999.0 99.0 99.00
2017 01 05 09 00 127  1.7  2.3 99.00 99.00 99.00 999 1011.1  17.9  17.9 999.0 99.0 99.00
2017 01 05 09 30 103  2.6  3.0 99.00 99.00 99.00 999 1010.9  17.8  17.9 999.0 99.0 99.00
2017 01 05 10 00 106  0.7  1.2 99.00 99.00 99.00 999 1011.2  18.0  17.9 999.0 99.0 99.00
2017 01 05 10 30 347  0.2  0.6 99.00 99.00 99.00 999 1011.0  18.0  17.9 999.0 99.0 99.00
2017 01 05 11 00 359  2.1  2.5 99.00 99.00 99.00 999 1010.9  18.0  17.9 999.0 99.0 99.00
2017 01 05 11 30 311  3.2  5.2 99.00 99.00 99.00 999 1011.3  17.8  17.9 999.0 99.0 99.00
2017 01 05 12 00 313  5.4  6.6 99.00 99.00 99.00 999 1011.6  15.9  17.9 999.0 99.0 99.00
2017 01 05 12 30 324  4.6  5.3 99.00 99.00 99.00 999 1011.3  15.6  17.9 999.0 99.0 99.00
2017 01 05 13 00 340  3.2  4.0 99.00 99.00 99.00 999 1011.3  15.7  17.9 999.0 99.0 99.00
2017 01 05 13 30 331  2.8  3.3 99.00 99.00 99.00 999 1011.4  16.1  17.9 999.0 99.0 99.00
2017 01 05 14 00 339  2.9  4.1 99.00 99.00 99.00 999 1011.5  16.3  17.9 999.0 99.0 99.00
2017 01 05 14 30 303  3.0  3.5 99.00 99.00 99.00 999 1011.9  16.7  17.8 999.0 99.0 99.00
2017 01 05 15 00 314  2.8  3.5 99.00 99.00 99.00 999 1011.8  16.6  17.9 999.0 99.0 99.00
2017 01 05 15 30 331  3.8  4.8 99.00 99.00 99.00 999 1012.1  16.8  17.9 999.0 99.0 99.00
2017 01 05 16 00 305  4.8  5.9 99.00 99.00 99.00 999 1012.5  16.2  17.9 999.0 99.0 99.00
2017 01 05 16 30 298  4.0  4.9 99.00 99.00 99.00 999 1012.3  16.2  17.9 999.0 99.0 99.00
2017 01 05 17 00 296  4.1  4.8 99.00 99.00 99.00 999 1012.1  16.2  17.9 999.0 99.0 99.00
2017 01 05 17 30 314  4.1  4.9 99.00 99.00 99.00 999 1011.8  16.1  18.0 999.0 99.0 99.00
2017 01 05 18 00 317  4.0  4.9 99.00 99.00 99.00 999 1011.2  16.5  18.0 999.0 99.0 99.00
2017 01 05 18 30 326  3.7  4.5 99.00 99.00 99.00 999 1010.6  16.8  18.0 999.0 99.0 99.00
2017 01 05 19 00 342  3.4  4.0 99.00 99.00 99.00 999 1009.7  17.3  18.1 999.0 99.0 99.00
2017 01 05 19 30   3  2.2  2.6 99.00 99.00 99.00 999 1009.0  17.1  18.1 999.0 99.0 99.00
2017 01 05 20 00  55  1.0  1.4 99.00 99.00 99.00 999 1008.2  17.3  18.1 999.0 99.0 99.00
2017 01 05 20 30  93  1.5  2.1 99.00 99.00 99.00 999 1007.6  17.8  18.1 999.0 99.0 99.00
2017 01 05 21 00  99  2.0  2.4 99.00 99.00 99.00 999 1007.4  18.1  18.2 999.0 99.0 99.00
2017 01 05 21 30 104  2.0  2.3 99.00 99.00 99.00 999 1007.3  18.1  18.2 999.0 99.0 99.00
2017 01 05 22 00  63  2.5  3.0 99.00 99.00 99.00 999 1007.7  18.4  18.2 999.0 99.0 99.00
2017 01 05 22 30  44  3.1  3.6 99.00 99.00 99.00 999 1007.8  18.4  18.3 999.0 99.0 99.00
2017 01 05 23 00  48  4.4  5.1 99.00 99.00 99.00 999 1008.0  18.1  18.3 999.0 99.0 99.00
2017 01 05 23 30  62  3.7  4.2 99.00 99.00 99.00 999 1008.1  17.9  18.4 999.0 99.0 99.00
2017 01 06 00 00  59  4.0  4.6 99.00 99.00 99.00 999 1008.1  17.7  18.4 999.0 99.0 99.00
2017 01 06 00 30  50  3.9  4.6 99.00 99.00 99.00 999 1008.3  17.8  18.4 999.0 99.0 99.00
2017 01 06 01 00  69  4.2  4.8 99.00 99.00 99.00 999 1008.4  17.8  18.4 999.0 99.0 99.00
2017 01 06 01 30  72  4.2  5.1 99.00 99.00 99.00 999 1008.7  18.1  18.3 999.0 99.0 99.00
2017 01 06 02 00  66  4.0  4.5 99.00 99.00 99.00 999 1009.1  18.1  18.3 999.0 99.0 99.00
2017 01 06 02 30  63  3.6  4.3 99.00 99.00 99.00 999 1009.4  17.9  18.2 999.0 99.0 99.00
2017 01 06 03 00  61  3.8  4.2 99.00 99.00 99.00 999 1009.6  18.3  18.2 999.0 99.0 99.00
2017 01 06 03 30  61  3.4  3.9 99.00 99.00 99.00 999 1009.8  18.2  18.1 999.0 99.0 99.00
2017 01 06 04 00  71  3.0  3.5 99.00 99.00 99.00 999 1009.7  18.4  18.1 999.0 99.0 99.00
2017 01 06 04 30  88  2.6  3.0 99.00 99.00 99.00 999 1009.4  18.4  18.1 999.0 99.0 99.00
2017 01 06 05 00  65  2.7  3.1 99.00 99.00 99.00 999 1009.5  18.4  18.0 999.0 99.0 99.00
2017 01 06 05 30  63  2.2  2.5 99.00 99.00 99.00 999 1009.4  18.2  18.0 999.0 99.0 99.00
2017 01 06 06 00  47  2.7  3.2 99.00 99.00 99.00 999 1009.4  18.2  18.0 999.0 99.0 99.00
2017 01 06 06 30  34  2.8  3.2 99.00 99.00 99.00 999 1009.7  18.4  18.0 999.0 99.0 99.00
2017 01 06 07 00  16  2.4  2.8 99.00 99.00 99.00 999 1009.6  18.4  18.0 999.0 99.0 99.00
2017 01 06 07 30  21  3.1  3.8 99.00 99.00 99.00 999 1009.5  18.3  18.0 999.0 99.0 99.00
2017 01 06 08 00  39  3.1  3.6 99.00 99.00 99.00 999 1009.3  18.4  18.0 999.0 99.0 99.00
2017 01 06 08 30  30  2.8  3.2 99.00 99.00 99.00 999 1009.2  18.3  18.0 999.0 99.0 99.00
2017 01 06 09 00   1  4.8  5.5 99.00 99.00 99.00 999 1009.5  18.3  18.0 999.0 99.0 99.00
2017 01 06 09 30 355  9.3 12.2 99.00 99.00 99.00 999 1010.0  17.9  18.1 999.0 99.0 99.00
2017 01 06 10 00   7  9.1 11.2 99.00 99.00 99.00 999 1010.0  17.2  18.0 999.0 99.0 99.00
2017 01 06 10 30  12  9.4 11.6 99.00 99.00 99.00 999 1010.3  17.2  17.9 999.0 99.0 99.00
2017 01 06 11 00 353  9.0 11.2 99.00 99.00 99.00 999 1010.4  17.5  17.8 999.0 99.0 99.00
2017 01 06 11 30 356  9.9 12.6 99.00 99.00 99.00 999 1011.6  17.2  17.8 999.0 99.0 99.00
2017 01 06 12 00   4 10.4 12.1 99.00 99.00 99.00 999 1011.4  16.4  17.7 999.0 99.0 99.00
2017 01 06 12 30   7 10.5 13.3 99.00 99.00 99.00 999 1012.2  16.3  17.7 999.0 99.0 99.00
2017 01 06 13 00  11 11.2 13.2 99.00 99.00 99.00 999 1013.3  16.0  17.7 999.0 99.0 99.00
2017 01 06 13 30  12 11.2 13.3 99.00 99.00 99.00 999 1013.1  15.3  17.8 999.0 99.0 99.00
2017 01 06 14 00  12 11.2 13.4 99.00 99.00 99.00 999 1014.3  15.2  17.7 999.0 99.0 99.00
2017 01 06 14 30   3 11.2 13.5 99.00 99.00 99.00 999 1013.9  15.0  17.7 999.0 99.0 99.00
2017 01 06 15 00   1 11.3 13.0 99.00 99.00 99.00 999 1014.2  14.4  17.7 999.0 99.0 99.00
2017 01 06 15 30 349 11.5 13.5 99.00 99.00 99.00 999 1015.6  13.3  17.7 999.0 99.0 99.00
2017 01 06 16 00 349 11.9 14.8 99.00 99.00 99.00 999 1016.2  12.6  17.7 999.0 99.0 99.00
2017 01 06 16 30 349 11.5 14.2 99.00 99.00 99.00 999 1015.8  12.0  17.7 999.0 99.0 99.00
2017 01 06 17 00 344 12.2 14.7 99.00 99.00 99.00 999 1016.3  11.4  17.8 999.0 99.0 99.00
2017 01 06 17 30 344 11.4 13.8 99.00 99.00 99.00 999 1016.9  11.0  17.8 999.0 99.0 99.00
2017 01 06 18 00 344 11.7 14.5 99.00 99.00 99.00 999 1016.6  10.8  17.8 999.0 99.0 99.00
2017 01 06 18 30 344 11.7 14.4 99.00 99.00 99.00 999 1016.2  10.6  17.8 999.0 99.0 99.00
2017 01 06 19 00 346 12.0 14.7 99.00 99.00 99.00 999 1016.3  10.2  17.8 999.0 99.0 99.00
2017 01 06 19 30 343 12.8 15.5 99.00 99.00 99.00 999 1017.2   9.4  17.8 999.0 99.0 99.00
2017 01 06 20 00 343 13.1 16.6 99.00 99.00 99.00 999 1017.2   9.2  17.7 999.0 99.0 99.00
2017 01 06 20 30 340 13.5 17.2 99.00 99.00 99.00 999 1017.3   8.0  18.1 999.0 99.0 99.00
2017 01 06 21 00 351 12.5 15.5 99.00 99.00 99.00 999 1016.6   7.7  17.9 999.0 99.0 99.00
2017 01 06 21 30 349 11.7 14.5 99.00 99.00 99.00 999 1017.4   8.1  17.9 999.0 99.0 99.00
2017 01 06 22 00 349 12.2 15.8 99.00 99.00 99.00 999 1018.2   8.0  17.9 999.0 99.0 99.00
2017 01 06 22 30 343 12.7 15.7 99.00 99.00 99.00 999 1019.7   8.2  18.6 999.0 99.0 99.00
2017 01 06 23 00 345 12.8 15.8 99.00 99.00 99.00 999 1019.2   8.4  18.6 999.0 99.0 99.00
2017 01 06 23 30 343 12.3 15.0 99.00 99.00 99.00 999 1021.4   8.0  18.6 999.0 99.0 99.00
2017 01 07 00 00 346 12.1 14.9 99.00 99.00 99.00 999 1021.7   8.0  18.5 999.0 99.0 99.00
2017 01 07 00 30 345 13.2 15.9 99.00 99.00 99.00 999 1022.0   8.4  18.5 999.0 99.0 99.00
2017 01 07 01 00 345 13.3 16.1 99.00 99.00 99.00 999 1022.6   8.3  18.5 999.0 99.0 99.00
2017 01 07 01 30 344 13.5 16.6 99.00 99.00 99.00 999 1024.3   8.0  18.5 999.0 99.0 99.00
2017 01 07 02 00 342 12.8 16.0 99.00 99.00 99.00 999 1025.0   7.9  18.7 999.0 99.0 99.00
2017 01 07 02 30 342 13.4 16.7 99.00 99.00 99.00 999 1027.5   7.3  18.7 999.0 99.0 99.00
2017 01 07 03 00 346 12.9 15.7 99.00 99.00 99.00 999 1027.8   7.4  18.7 999.0 99.0 99.00
2017 01 07 03 30 345 13.1 16.4 99.00 99.00 99.00 999 1027.4   7.1  18.6 999.0 99.0 99.00
2017 01 07 04 00 342 12.5 16.8 99.00 99.00 99.00 999 1028.3   7.3  18.5 999.0 99.0 99.00
2017 01 07 04 30 343 12.1 15.6 99.00 99.00 99.00 999 1029.4   8.0  18.4 999.0 99.0 99.00
2017 01 07 05 00 340 12.9 16.7 99.00 99.00 99.00 999 1029.3   7.4  18.4 999.0 99.0 99.00
2017 01 07 05 30 335 13.3 15.8 99.00 99.00 99.00 999 1029.5   6.8  18.3 999.0 99.0 99.00
2017 01 07 06 00 332 12.8 16.6 99.00 99.00 99.00 999 1030.8   6.0  18.2 999.0 99.0 99.00
2017 01 07 06 30 336 11.9 14.2 99.00 99.00 99.00 999 1031.0   4.9  18.1 999.0 99.0 99.00
2017 01 07 07 00 332 11.5 14.7 99.00 99.00 99.00 999 1031.4   4.6  18.0 999.0 99.0 99.00
2017 01 07 07 30 334 11.7 15.5 99.00 99.00 99.00 999 1030.9   5.1  18.0 999.0 99.0 99.00
2017 01 07 08 00 338 12.1 14.1 99.00 99.00 99.00 999 1031.5   4.9  17.9 999.0 99.0 99.00
2017 01 07 08 30 336 12.8 15.3 99.00 99.00 99.00 999 1031.8   5.2  17.8 999.0 99.0 99.00
2017 01 07 09 00 322 13.1 16.4 99.00 99.00 99.00 999 1032.0   3.9  17.8 999.0 99.0 99.00
2017 01 07 09 30 329 12.4 15.1 99.00 99.00 99.00 999 1032.9   4.0  17.7 999.0 99.0 99.00
2017 01 07 10 00 333 12.4 15.4 99.00 99.00 99.00 999 1033.1   3.7  17.6 999.0 99.0 99.00
2017 01 07 10 30 341 12.5 15.8 99.00 99.00 99.00 999 1033.4   4.0  17.6 999.0 99.0 99.00
2017 01 07 11 00 337 12.8 15.9 99.00 99.00 99.00 999 1034.3   4.2  17.5 999.0 99.0 99.00
