"","x"
"1",0.73
"2",0.8
"3",0.75
"4",0.79
"5",0.74
"6",0.81
"7",0.84
"8",0.95
"9",0.92
"10",1.02
"11",1.02
"12",1.04
"13",1.06
"14",1.01
"15",0.99
"16",1.04
"17",0.96
"18",0.87
"19",0.85
"20",0.91
"21",1.01
"22",0.91
"23",0.82
"24",0.91
"25",0.89
"26",0.85
"27",0.84
"28",0.77
"29",0.79
"30",0.82
"31",0.89
"32",0.89
"33",0.9
"34",0.92
"35",1.01
"36",1.21
"37",1.13
"38",1
"39",1.07
"40",1.01
"41",0.97
"42",1.01
"43",1.04
"44",1.1
"45",1.09
"46",1.18
"47",1.19
"48",1.25
"49",1.26
"50",1.24
"51",1.32
"52",1.33
"53",1.33
"54",1.26
"55",1.25
"56",1.35
"57",1.45
"58",1.55
"59",1.61
"60",1.76
"61",1.63
"62",1.85
"63",1.67
"64",1.84
"65",1.75
"66",1.95
"67",1.72
"68",1.69
"69",1.68
"70",1.8
"71",1.72
"72",1.74
"73",1.66
"74",1.73
"75",1.59
"76",1.58
"77",1.52
"78",1.67
"79",1.76
"80",1.63
"81",1.78
"82",1.56
"83",1.63
"84",1.46
"85",1.62
"86",1.63
"87",1.47
"88",1.44
"89",1.34
"90",1.35
"91",1.33
"92",1.18
"93",1.22
"94",1.29
"95",1.2
"96",1.05
"97",1.05
"98",0.96
"99",0.87
"100",0.89
"101",0.92
"102",0.88
"103",0.91
"104",0.96
"105",0.97
"106",1
"107",0.97
"108",0.97
"109",0.93
"110",0.91
"111",0.88
"112",0.9
"113",0.91
"114",0.82
"115",0.92
"116",0.91
"117",0.87
"118",0.83
"119",0.85
"120",0.85
"121",0.8
"122",0.85
"123",0.82
"124",0.81
"125",0.78
"126",0.77
"127",0.81
"128",0.82
"129",0.79
"130",0.78
"131",0.72
"132",0.72
"133",0.7
"134",0.67
"135",0.64
"136",0.64
"137",0.59
"138",0.56
"139",0.54
"140",0.56
"141",0.54
"142",0.53
"143",0.52
"144",0.48
"145",0.45
"146",0.54
"147",0.55
"148",0.54
"149",0.56
"150",0.56
"151",0.56
"152",0.55
"153",0.57
"154",0.56
"155",0.54
"156",0.51
"157",0.52
"158",0.49
"159",0.49
"160",0.52
"161",0.49
"162",0.46
"163",0.44
"164",0.42
"165",0.44
"166",0.46
"167",0.44
"168",0.49
"169",0.5
"170",0.55
"171",0.56
"172",0.61
"173",0.61
"174",0.64
"175",0.61
"176",0.74
"177",0.72
"178",0.73
"179",0.7
"180",0.72
"181",0.73
"182",0.66
"183",0.67
"184",0.7
"185",0.66
"186",0.72
"187",0.58
"188",0.62
"189",0.66
"190",0.67
"191",0.73
"192",0.76
"193",0.76
"194",0.75
"195",0.77
"196",0.84
"197",0.79
"198",0.82
"199",0.78
"200",0.83
"201",0.87
"202",0.82
"203",0.87
"204",0.95
"205",0.94
"206",0.93
"207",0.85
"208",0.87
"209",0.88
"210",0.79
"211",0.79
"212",0.83
"213",0.84
"214",0.89
"215",0.91
"216",0.83
"217",0.94
"218",0.92
"219",0.96
"220",0.96
"221",1.07
"222",0.98
"223",1.09
"224",0.9
"225",0.89
"226",0.84
"227",0.85
"228",0.82
"229",0.87
"230",0.9
"231",0.82
"232",0.79
"233",0.83
"234",0.8
"235",0.73
"236",0.8
"237",0.83
"238",0.81
"239",0.85
"240",0.71
"241",0.76
"242",0.78
"243",0.82
"244",0.82
"245",0.77
"246",0.8
"247",0.88
"248",0.85
"249",0.92
"250",0.97
"251",1.07
"252",1.01
"253",1.17
"254",1.18
"255",1.23
"256",1.4
"257",1.4
"258",1.46
"259",1.55
"260",1.79
"261",1.81
"262",1.79
"263",2.02
"264",2.16
"265",2.28
"266",2.65
"267",2.81
"268",3.46
"269",3.56
"270",4.03
"271",4.39
"272",4.28
"273",4.22
"274",5.22
"275",5.54
