"","x"
"1",2017-08-14 00:00:00
"2",2017-08-14 00:30:00
"3",2017-08-14 01:00:00
"4",2017-08-14 01:30:00
"5",2017-08-14 02:00:00
"6",2017-08-14 02:30:00
"7",2017-08-14 03:00:00
"8",2017-08-14 03:30:00
"9",2017-08-14 04:00:00
"10",2017-08-14 04:30:00
"11",2017-08-14 05:00:00
"12",2017-08-14 05:30:00
"13",2017-08-14 06:00:00
"14",2017-08-14 06:30:00
"15",2017-08-14 07:00:00
"16",2017-08-14 07:30:00
"17",2017-08-14 08:00:00
"18",2017-08-14 08:30:00
"19",2017-08-14 09:00:00
"20",2017-08-14 09:30:00
"21",2017-08-14 10:00:00
"22",2017-08-14 10:30:00
"23",2017-08-14 11:00:00
"24",2017-08-14 11:30:00
"25",2017-08-14 12:00:00
"26",2017-08-14 12:30:00
"27",2017-08-14 13:00:00
"28",2017-08-14 13:30:00
"29",2017-08-14 14:00:00
"30",2017-08-14 14:30:00
"31",2017-08-14 15:00:00
"32",2017-08-14 15:30:00
"33",2017-08-14 16:00:00
"34",2017-08-14 16:30:00
"35",2017-08-14 17:00:00
"36",2017-08-14 17:30:00
"37",2017-08-14 18:00:00
"38",2017-08-14 18:30:00
"39",2017-08-14 19:00:00
"40",2017-08-14 19:30:00
"41",2017-08-14 20:00:00
"42",2017-08-14 20:30:00
"43",2017-08-14 21:00:00
"44",2017-08-14 21:30:00
"45",2017-08-14 22:00:00
"46",2017-08-14 22:30:00
"47",2017-08-14 23:00:00
"48",2017-08-14 23:30:00
"49",2017-08-15 00:00:00
"50",2017-08-15 00:30:00
"51",2017-08-15 01:00:00
"52",2017-08-15 01:30:00
"53",2017-08-15 02:00:00
"54",2017-08-15 02:30:00
"55",2017-08-15 03:00:00
"56",2017-08-15 03:30:00
"57",2017-08-15 04:00:00
"58",2017-08-15 04:30:00
"59",2017-08-15 05:00:00
"60",2017-08-15 05:30:00
"61",2017-08-15 06:00:00
"62",2017-08-15 06:30:00
"63",2017-08-15 07:00:00
"64",2017-08-15 07:30:00
"65",2017-08-15 08:00:00
"66",2017-08-15 08:30:00
"67",2017-08-15 09:00:00
