"","x"
"1",29.7
"2",29.6
"3",29.7
"4",29.6
"5",29.6
"6",29.6
"7",29.5
"8",29.4
"9",29.4
"10",29.3
"11",29.4
"12",29.3
"13",29.3
"14",29.5
"15",29.5
"16",29.4
"17",29.5
"18",29.5
"19",29.5
"20",29.5
"21",29.7
"22",29.7
"23",29.7
"24",29.6
"25",29.6
"26",29.5
"27",29.5
"28",29.4
"29",29.5
"30",29.3
"31",29.3
"32",29.3
"33",29.2
"34",29.3
"35",29.3
"36",29.3
"37",29.4
"38",29.6
"39",29.6
"40",29.7
"41",29.8
"42",29.9
"43",30
"44",29.9
"45",29.9
"46",29.9
"47",29.9
"48",29.8
"49",29.8
"50",29.8
"51",29.8
"52",29.7
"53",29.8
"54",29.7
"55",29.7
"56",29.6
"57",29.6
"58",29.6
"59",29.6
"60",29.6
"61",29.6
"62",29.8
"63",29.9
"64",29.9
"65",30
"66",29.9
"67",29.9
"68",29.9
"69",30
"70",30
"71",30
"72",30
"73",29.8
"74",29.8
"75",29.8
"76",29.8
"77",29.7
"78",29.8
"79",29.6
"80",29.6
"81",29.6
"82",29.5
"83",29.4
"84",29.3
"85",29.4
"86",29.5
"87",29.5
"88",29.5
"89",29.5
"90",29.6
"91",29.5
"92",29.6
"93",29.6
"94",29.6
"95",29.6
"96",29.6
"97",29.4
"98",29.4
"99",29.5
"100",29.3
"101",29.4
"102",29.4
"103",29.3
"104",29.3
"105",29.3
"106",29.2
"107",29.3
"108",29.2
"109",29.2
"110",29.4
"111",29.5
"112",29.4
"113",29.5
"114",29.5
"115",29.5
"116",29.5
"117",29.5
"118",29.6
"119",29.6
"120",29.8
"121",29.8
"122",29.8
"123",29.7
"124",29.7
"125",29.7
"126",29.7
"127",29.6
"128",29.5
"129",29.3
"130",29.1
"131",29.1
"132",29
"133",29.1
"134",29.3
"135",29.4
"136",29.4
"137",29.5
"138",29.4
"139",29.4
"140",29.5
"141",29.7
"142",29.6
"143",29.7
"144",29.9
"145",29.6
"146",29.7
"147",29.6
"148",29.6
"149",29.6
"150",29.6
"151",29.5
"152",29.6
"153",29.3
"154",29.2
"155",29.1
"156",29
"157",29.2
"158",29.3
"159",29.3
"160",29.4
"161",29.4
"162",29.5
"163",29.5
"164",29.5
"165",29.6
"166",29.6
"167",29.8
"168",29.8
"169",29.7
"170",29.8
"171",29.7
"172",29.7
"173",29.7
"174",29.7
"175",29.6
"176",29.4
"177",29.4
"178",29.3
"179",29.2
"180",29.1
"181",29.3
"182",29.4
"183",29.5
"184",29.5
"185",29.6
"186",29.4
"187",29.4
"188",29.5
"189",29.3
"190",29.4
"191",29.4
"192",29.6
"193",29.3
"194",28.5
"195",29.1
"196",29.5
"197",28.8
"198",27.8
"199",28.2
"200",28.8
"201",28.8
"202",28.9
"203",28.8
"204",28.7
"205",29
"206",29.2
"207",29.2
"208",28.2
"209",29.3
"210",29.4
"211",29.4
"212",28.6
"213",29.3
"214",29.7
"215",29.4
"216",29.3
"217",29.2
"218",29.2
"219",29.3
"220",29.3
"221",29.2
"222",29.2
"223",29.2
"224",29.1
"225",29
"226",28.9
"227",28.9
"228",29.4
"229",29.3
"230",29.2
"231",29.1
"232",29.1
"233",29.1
"234",29.2
"235",29.2
"236",29.2
"237",29.3
"238",29.4
"239",29.5
"240",29.2
"241",29.2
"242",29.2
"243",29.3
"244",29.2
"245",29.2
"246",29.1
"247",29.1
"248",29.1
"249",29
"250",29.1
"251",29
"252",29.2
"253",29.3
"254",29.3
"255",29.2
"256",29
"257",28.5
"258",25.5
"259",29.4
"260",28.5
"261",28.3
"262",28.6
"263",28.9
"264",29
"265",29
"266",29.4
"267",27.9
"268",28
"269",28.7
"270",28.1
"271",27.5
"272",27.1
"273",27.8
"274",27.7
"275",26.2
"276",26.8
"277",27
"278",26.3
"279",26.1
"280",26.1
"281",25.7
"282",25.8
"283",25.2
"284",25.2
"285",24.9
"286",26
"287",26.5
"288",26.9
"289",27.2
"290",27.6
"291",27.8
"292",28
"293",28.1
"294",28.2
"295",28.3
"296",28
"297",27.3
"298",27.4
"299",27.9
"300",27.9
"301",27.8
"302",27.6
"303",27.8
"304",27.7
"305",27.9
"306",28
"307",28.1
"308",28.3
"309",28.2
"310",28
"311",28.1
"312",28
"313",28.3
"314",27.9
"315",28.3
"316",28.1
"317",28.2
"318",28
"319",28.1
"320",24.1
"321",26.5
"322",26.6
"323",27.3
"324",27.6
"325",27.9
"326",27.6
"327",27.5
"328",27.3
"329",27.4
"330",27.4
"331",27.7
"332",27.8
"333",28
"334",28
"335",27.8
"336",27.7
"337",27.2
"338",27.1
"339",27
"340",27.1
"341",26.6
"342",26.5
"343",26.5
"344",25.9
"345",26.4
"346",25.2
"347",25
"348",24.9
"349",24.4
"350",24.3
"351",24.6
"352",24.4
"353",24.8
"354",24.8
"355",24.8
"356",24.7
"357",24.6
"358",24.2
"359",24.4
"360",24.7
"361",24.9
"362",24.8
"363",25.2
"364",25.4
"365",24.9
"366",25.1
"367",25.2
"368",25
"369",25.5
"370",24.6
"371",24.7
"372",25.2
"373",24.7
"374",24.7
"375",24.9
"376",25.2
"377",26.5
"378",26.7
"379",26.1
"380",24.9
"381",27.3
"382",27.5
"383",27.7
"384",27.5
"385",27.7
"386",27.7
"387",27.8
"388",27.7
"389",27.5
"390",27.3
"391",27.3
"392",27.2
"393",27.3
"394",27
"395",26.8
"396",26.7
"397",26.7
"398",26.8
"399",26.7
"400",26.7
"401",26.8
"402",27.1
"403",27.1
"404",27.2
"405",27
"406",27.5
"407",26.8
"408",27
"409",27
"410",26.9
"411",27.2
"412",27.4
"413",27.5
"414",27.3
"415",27.5
"416",27.1
"417",27.2
"418",27.4
"419",27.4
"420",27.6
"421",27.7
"422",27.8
"423",27.8
"424",27.9
"425",28
"426",28.2
"427",28.4
"428",28.5
"429",28.9
"430",29.2
"431",28
"432",28.1
"433",28.3
"434",28.2
"435",28.3
"436",28.2
"437",28.1
"438",27.9
"439",27.8
"440",27.6
"441",27.6
"442",27.6
"443",27.7
"444",27.7
"445",27.8
"446",27.9
"447",28
"448",28.5
"449",27.2
"450",27.5
"451",27.9
"452",28.1
"453",28.3
"454",28.1
"455",27.8
"456",27.7
"457",27.9
"458",27.8
"459",27.7
"460",27.7
"461",27.6
"462",27.5
"463",27.5
"464",27.3
"465",27.3
"466",27.3
"467",27.6
"468",27.7
"469",27.7
"470",27.9
"471",27.9
"472",28
"473",28
"474",28
"475",27.9
"476",28.1
"477",28.3
"478",28.2
"479",28
"480",27.9
"481",27.8
"482",27.8
"483",27.8
"484",27.7
"485",27.7
"486",27.7
"487",27.5
"488",27.7
"489",27.7
"490",27.6
"491",27.7
"492",27.9
"493",28
"494",28
"495",28
"496",28
"497",28
"498",28
"499",28
"500",28.1
"501",28.1
"502",28
"503",28
"504",28
"505",28
"506",28
"507",28.2
"508",28.2
"509",28.2
"510",28.2
"511",28.3
"512",28.3
"513",27.6
"514",28.3
"515",28.5
"516",28.5
"517",28.5
"518",28.4
"519",26.9
"520",27.5
"521",27.8
"522",27.9
"523",27.9
"524",28.1
"525",28.4
"526",28.3
