"","x"
"1",29.9
"2",29.8
"3",29.8
"4",29.7
"5",29.7
"6",29.6
"7",29.7
"8",29.7
"9",29.7
"10",29.7
"11",29.7
"12",29.7
"13",30
"14",30.1
"15",30.1
"16",29.9
"17",30.1
"18",30.1
"19",30.1
"20",30
"21",30.1
"22",30.2
"23",30.1
"24",30.1
"25",30
"26",30
"27",30
"28",29.9
"29",29.8
"30",29.8
"31",29.8
"32",29.8
"33",29.7
"34",29.7
"35",29.8
"36",29.8
"37",30
"38",30.2
"39",30.3
"40",30.2
"41",30.1
"42",30.2
"43",30.2
"44",30.2
"45",30.4
"46",30.5
"47",30.5
"48",30.3
"49",30.3
"50",30.2
"51",30.2
"52",30.1
"53",30.1
"54",30.1
"55",30.1
"56",30.1
"57",30.2
"58",30.1
"59",30.2
"60",30.2
"61",30.4
"62",30.3
"63",30.3
"64",30.3
"65",30.4
"66",30.4
"67",30.5
"68",30.5
"69",30.5
"70",30.5
"71",30.4
"72",30.4
"73",30.1
"74",30.3
"75",30.2
"76",30.2
"77",30.2
"78",30.1
"79",30.1
"80",30.2
"81",30.2
"82",30.2
"83",30.2
"84",30.1
"85",30.1
"86",30.4
"87",30.2
"88",30.3
"89",30.2
"90",30.4
"91",30.4
"92",30.3
"93",30.4
"94",30.4
"95",30.2
"96",30.1
"97",30
"98",30
"99",29.9
"100",29.9
"101",29.9
"102",29.8
"103",29.7
"104",29.7
"105",29.7
"106",29.7
"107",29.7
"108",29.7
"109",30
"110",30.1
"111",30.1
"112",30.2
"113",30.1
"114",30.2
"115",30.2
"116",30.2
"117",30.3
"118",30.3
"119",30.2
"120",30.2
"121",30.1
"122",30.1
"123",30
"124",30
"125",30
"126",29.9
"127",29.7
"128",29.6
"129",29.6
"130",29.6
"131",29.6
"132",30
"133",30.2
"134",30.1
"135",30.1
"136",30.1
"137",30.1
"138",30.2
"139",30.4
"140",30.4
"141",30.4
"142",30.5
"143",30.7
"144",30.5
"145",30.6
"146",30.5
"147",30.4
"148",30.2
"149",30.1
"150",30
"151",29.8
"152",29.7
"153",29.6
"154",29.7
"155",29.5
"156",30.9
"157",31.6
"158",30.6
"159",30.4
"160",30
"161",30.1
"162",30.1
"163",30.2
"164",30.3
"165",30.5
"166",30.4
"167",30.5
"168",30.3
"169",30.3
"170",30.3
"171",30.3
"172",30.3
"173",30.3
"174",30.2
"175",30.2
"176",30.1
"177",30.1
"178",30
"179",29.9
"180",30.2
"181",30.3
"182",30.2
"183",30.2
"184",30.2
"185",30
"186",30
"187",30.2
"188",30.2
"189",30.3
"190",30.3
"191",30.1
"192",30.1
"193",30.1
"194",29.6
"195",29.8
"196",29.9
"197",29.6
"198",29.5
"199",29.4
"200",29.4
"201",29.3
"202",31.5
"203",30.9
"204",29.9
"205",29.6
"206",29.8
"207",29.8
"208",29.9
"209",29.9
"210",30
"211",30.3
"212",30.1
"213",30
"214",30
"215",30
"216",29.8
"217",29.8
"218",29.6
"219",29.5
"220",29.5
"221",29.5
"222",29.4
"223",29.5
"224",29.3
"225",29.3
"226",27.9
"227",28.1
"228",28.1
"229",28.6
"230",29
"231",29.2
"232",28.7
"233",29.5
"234",29.8
"235",30
"236",29.7
"237",29.7
"238",29.9
"239",30.1
"240",29.9
"241",29.8
"242",29.6
"243",29.5
"244",29.5
"245",28.9
"246",28.9
"247",28.9
"248",28.8
"249",27.8
"250",28.4
"251",28.9
"252",29.1
"253",29.3
"254",29.8
"255",30
"256",29.6
"257",29.7
"258",30.2
"259",29.4
"260",29.6
"261",29
"262",28.6
"263",29.1
"264",29.2
"265",29.4
"266",29
"267",29.4
"268",30.5
"269",30.2
"270",28.2
"271",26.9
"272",26.2
"273",26.9
"274",26.8
"275",28.8
"276",28.2
"277",27.9
"278",27.3
"279",28.5
"280",28.1
"281",28.5
"282",27.9
"283",28.3
"284",27.7
"285",28.1
"286",27.9
"287",28.3
"288",28.4
"289",28.5
"290",28.3
"291",29.6
"292",29.5
"293",29.9
"294",29.8
"295",29.8
"296",29.8
"297",29.8
"298",27.3
"299",28.2
"300",28.1
"301",25
"302",28.3
"303",28.9
"304",28.3
"305",28.3
"306",28.5
"307",28.8
"308",29.1
"309",27.3
"310",28.9
"311",29.6
"312",29.5
"313",29.3
"314",29.1
"315",29.2
"316",29.5
"317",29.3
"318",28.8
"319",25
"320",26.6
"321",27
"322",28
"323",28
"324",27.5
"325",28.5
"326",28.8
"327",29
"328",29.1
"329",29
"330",29.1
"331",28
"332",29.1
"333",29.1
"334",28.7
"335",28.4
"336",26.8
"337",26.8
"338",26.2
"339",27.3
"340",28
"341",28
"342",27.8
"343",27.9
"344",28
"345",26.4
"346",28.3
"347",27.8
"348",27.8
"349",27.9
"350",27.7
"351",26.9
"352",27.6
"353",26.5
"354",26.5
"355",27.5
"356",27.7
"357",28.2
"358",27.7
"359",27.5
"360",27.1
"361",27.9
"362",28
"363",26.9
"364",27.1
"365",26.8
"366",27
"367",27.1
"368",26.6
"369",27.9
"370",25.9
"371",26.9
"372",27.6
"373",27.9
"374",24.5
"375",24.5
"376",24.6
"377",24.8
"378",24.9
"379",24.5
"380",24.6
"381",25
"382",24.8
"383",25
"384",24.7
"385",24.8
"386",24.1
"387",23.9
"388",25
"389",24.8
"390",24.7
"391",24.9
"392",25.3
"393",25.7
"394",26.4
"395",26.8
"396",27
"397",26.9
"398",26.9
"399",27.2
"400",26.9
"401",27
"402",27.3
"403",26.9
"404",25.9
"405",26.1
"406",26.5
"407",26.7
"408",26.7
"409",26.8
"410",26.7
"411",26.7
"412",26.8
"413",26.6
"414",26.6
"415",26.7
"416",27
"417",27.1
"418",27.6
"419",28
"420",28.5
"421",28.5
"422",28.4
"423",28.2
"424",28.1
"425",27.8
"426",27.8
"427",27.7
"428",27.4
"429",27.4
"430",27.3
"431",27.3
"432",27.2
"433",27.3
"434",27.3
"435",26
"436",26
"437",26.3
"438",26.7
"439",26.7
"440",27.1
"441",27.8
"442",27.2
"443",27.1
"444",27.5
"445",28.1
"446",28.1
"447",28
"448",27.9
"449",28
"450",28.1
"451",28
"452",27.8
"453",27.6
"454",27.5
"455",26.6
"456",26.1
"457",25.9
"458",25.6
"459",25.4
"460",26.3
"461",26.3
"462",28.3
"463",27.9
"464",28.5
"465",28.3
"466",28.3
"467",28.3
"468",28.8
"469",29.5
"470",29.5
"471",28.1
"472",28.3
"473",28.2
"474",28.1
"475",28.4
"476",28.3
"477",28.2
"478",28
"479",27.8
"480",27.6
"481",27.4
"482",27.1
"483",25.9
"484",26.9
"485",28
"486",28.5
"487",28.2
"488",28.2
"489",28.4
"490",28.6
"491",28.7
"492",28.6
"493",28.6
"494",28.6
"495",28.5
"496",28.5
"497",28.5
"498",28.5
"499",28.6
"500",28.4
"501",28.3
"502",28
"503",27.8
"504",27.8
"505",27.7
"506",27.7
"507",28.1
"508",28.2
"509",28.2
"510",28
"511",28.1
"512",28.1
"513",28.2
"514",28.4
"515",28.5
"516",28.5
"517",28.5
