"","x"
"1",30
"2",29.9
"3",29.9
"4",29.9
"5",29.9
"6",29.8
"7",29.8
"8",29.8
"9",29.7
"10",29.7
"11",29.6
"12",29.7
"13",29.6
"14",29.8
"15",29.8
"16",29.8
"17",29.8
"18",29.8
"19",29.8
"20",29.9
"21",30
"22",30.1
"23",30.1
"24",30
"25",30.1
"26",29.9
"27",29.9
"28",29.8
"29",29.8
"30",29.8
"31",29.8
"32",29.8
"33",29.8
"34",29.8
"35",29.7
"36",29.7
"37",29.8
"38",29.9
"39",30
"40",30.1
"41",30.2
"42",30.3
"43",30.2
"44",29.6
"45",30.3
"46",30.3
"47",30.4
"48",30.2
"49",30.1
"50",30
"51",30
"52",30.1
"53",30.1
"54",30.1
"55",30
"56",29.9
"57",29.9
"58",29.9
"59",29.8
"60",29.9
"61",29.9
"62",30.2
"63",30.2
"64",30.2
"65",30.4
"66",30.4
"67",30.3
"68",30.3
"69",30.3
"70",30.3
"71",30.3
"72",30.1
"73",30.1
"74",30.1
"75",30.2
"76",30.2
"77",30.2
"78",30.1
"79",30.1
"80",30
"81",29.9
"82",29.9
"83",29.8
"84",29.9
"85",29.9
"86",29.9
"87",29.9
"88",29.9
"89",30
"90",29.7
"91",30
"92",30.1
"93",30.1
"94",30
"95",30
"96",29.8
"97",29.9
"98",29.9
"99",29.8
"100",29.9
"101",29.9
"102",29.8
"103",29.7
"104",29.8
"105",29.7
"106",29.7
"107",29.6
"108",29.8
"109",29.7
"110",29.7
"111",29.9
"112",29.9
"113",30
"114",30.2
"115",30
"116",30.1
"117",30.1
"118",29.8
"119",30.2
"120",30
"121",29.9
"122",29.9
"123",29.9
"124",29.9
"125",29.9
"126",29.8
"127",29.6
"128",29.6
"129",29.6
"130",29.5
"131",29.4
"132",29.3
"133",29.4
"134",29.4
"135",29.4
"136",29.5
"137",29.8
"138",30
"139",30.4
"140",30.6
"141",30.5
"142",30.2
"143",30.3
"144",30.2
"145",29.9
"146",30
"147",29.9
"148",29.9
"149",29.8
"150",29.7
"151",29.5
"152",29.6
"153",29.4
"154",29.4
"155",29.3
"156",29.5
"157",29.9
"158",29.9
"159",29.9
"160",29.7
"161",29.7
"162",29.9
"163",29.6
"164",29.6
"165",29.7
"166",29.7
"167",29.9
"168",29.6
"169",29.6
"170",29.8
"171",29.7
"172",29.8
"173",29.7
"174",29.7
"175",29.7
"176",29.6
"177",29
"178",29.3
"179",29.3
"180",29.3
"181",29.5
"182",29.6
"183",29.4
"184",29.3
"185",29
"186",29
"187",29.4
"188",29.6
"189",29.3
"190",29.4
"191",27.5
"192",29.3
"193",29.3
"194",28.9
"195",29.3
"196",29.5
"197",29.6
"198",29.3
"199",29.2
"200",29.2
"201",29
"202",29
"203",28.9
"204",29.4
"205",29.2
"206",29.2
"207",29.2
"208",29.3
"209",29.3
"210",29.3
"211",29.6
"212",29.5
"213",29.6
"214",29.6
"215",29.4
"216",29.4
"217",29.3
"218",29.3
"219",29.2
"220",29.3
"221",29.3
"222",29.2
"223",29.2
"224",29.1
"225",29
"226",29.1
"227",29.7
"228",29.4
"229",29.1
"230",29.3
"231",29.2
"232",29.4
"233",28.6
"234",29.4
"235",29.3
"236",29
"237",29.5
"238",29.3
"239",29.4
"240",29.4
"241",29.4
"242",29.4
"243",29.3
"244",29.3
"245",29.3
"246",29.3
"247",29.3
"248",29.1
"249",29.1
"250",29
"251",28.9
"252",27.7
"253",28.8
"254",29.1
"255",28.9
"256",28.4
"257",28.6
"258",28.6
"259",28
"260",28.3
"261",28.7
"262",29.2
"263",29.4
"264",29.6
"265",27.6
"266",28.8
"267",28.2
"268",28.1
"269",28.3
"270",27.6
"271",26.3
"272",27.3
"273",28.4
"274",28.5
"275",28
"276",28.1
"277",28.2
"278",28.8
"279",28.8
"280",28.9
"281",28.2
"282",29.1
"283",28.6
"284",28.1
"285",28.5
"286",28.7
"287",28.9
"288",29.1
"289",29.1
"290",28.8
"291",29.2
"292",28.5
"293",28.8
"294",28.7
"295",28.2
"296",28.5
"297",27.5
"298",25.5
"299",27.4
"300",24.9
"301",27.2
"302",27.9
"303",28.1
"304",28.3
"305",28.4
"306",28.5
"307",28.8
"308",28.9
"309",28.7
"310",28.7
"311",28.5
