"","x"
"1",0.64
"2",0.61
"3",0.66
"4",0.7
"5",0.69
"6",0.74
"7",0.8
"8",0.85
"9",0.84
"10",0.87
"11",0.91
"12",0.91
"13",0.89
"14",0.98
"15",1.07
"16",1
"17",1.05
"18",0.93
"19",0.85
"20",0.85
"21",0.93
"22",0.81
"23",0.8
"24",0.76
"25",0.84
"26",0.83
"27",0.82
"28",0.82
"29",0.86
"30",0.85
"31",0.87
"32",0.99
"33",0.98
"34",0.95
"35",0.97
"36",0.95
"37",1.01
"38",0.93
"39",0.98
"40",1.02
"41",0.98
"42",1.05
"43",0.98
"44",0.97
"45",1.03
"46",1.04
"47",0.95
"48",0.97
"49",1
"50",0.97
"51",1
"52",1.02
"53",1.03
"54",1.1
"55",1.07
"56",1.23
"57",1.24
"58",1.18
"59",1.27
"60",1.42
"61",1.37
"62",1.39
"63",1.37
"64",1.46
"65",1.32
"66",1.35
"67",1.32
"68",1.24
"69",1.27
"70",1.31
"71",1.17
"72",1.27
"73",1.31
"74",1.29
"75",1.23
"76",1.28
"77",1.33
"78",1.4
"79",1.46
"80",1.5
"81",1.43
"82",1.45
"83",1.37
"84",1.35
"85",1.42
"86",1.36
"87",1.35
"88",1.23
"89",1.24
"90",1.12
"91",1.09
"92",1
"93",0.97
"94",1
"95",0.95
"96",0.93
"97",0.95
"98",0.94
"99",0.88
"100",0.9
"101",0.83
"102",0.82
"103",0.83
"104",0.8
"105",0.78
"106",0.8
"107",0.76
"108",0.87
"109",0.8
"110",0.77
"111",0.75
"112",0.72
"113",0.68
"114",0.71
"115",0.68
"116",0.65
"117",0.62
"118",0.61
"119",0.6
"120",0.59
"121",0.63
"122",0.61
"123",0.65
"124",0.66
"125",0.68
"126",0.72
"127",0.7
"128",0.71
"129",0.67
"130",0.72
"131",0.7
"132",0.68
"133",0.63
"134",0.61
"135",0.59
"136",0.58
"137",0.58
"138",0.51
"139",0.49
"140",0.44
"141",0.42
"142",0.39
"143",0.37
"144",0.36
"145",0.36
"146",0.39
"147",0.45
"148",0.43
"149",0.41
"150",0.41
"151",0.43
"152",0.43
"153",0.4
"154",0.4
"155",0.38
"156",0.39
"157",0.38
"158",0.38
"159",0.4
"160",0.39
"161",0.4
"162",0.34
"163",0.34
"164",0.31
"165",0.29
"166",0.27
"167",0.27
"168",0.31
"169",0.3
"170",0.39
"171",0.48
"172",0.52
"173",0.53
"174",0.54
"175",0.58
"176",0.55
"177",0.53
"178",0.54
"179",0.5
"180",0.5
"181",0.53
"182",0.49
"183",0.48
"184",0.51
"185",0.46
"186",0.45
"187",0.42
"188",0.47
"189",0.46
"190",0.47
"191",0.46
"192",0.48
"193",0.51
"194",0.56
"195",0.51
"196",0.5
"197",0.55
"198",0.5
"199",0.5
"200",0.51
"201",0.5
"202",0.51
"203",0.52
"204",0.49
"205",0.5
"206",0.47
"207",0.48
"208",0.49
"209",0.49
"210",0.48
"211",0.47
"212",0.5
"213",0.52
"214",0.51
"215",0.55
"216",0.51
"217",0.56
"218",0.56
"219",0.56
"220",0.61
"221",0.58
"222",0.59
"223",0.5
"224",0.52
"225",0.49
"226",0.45
"227",0.54
"228",0.48
"229",0.45
"230",0.47
"231",0.45
"232",0.51
